capacity_date,facility_id,service_id,staffed_beds
2025-01-01,FAC-001,SVC-MED,42
2025-01-01,FAC-001,SVC-SRG,29
2025-01-01,FAC-001,SVC-CHD,19
2025-01-01,FAC-001,SVC-MAT,21
2025-01-01,FAC-001,SVC-MHU,14
2025-01-01,FAC-002,SVC-MED,32
2025-01-01,FAC-002,SVC-SRG,24
2025-01-01,FAC-002,SVC-CHD,14
2025-01-01,FAC-002,SVC-MAT,16
2025-01-01,FAC-002,SVC-MHU,12
2025-01-01,FAC-003,SVC-MED,28
2025-01-01,FAC-003,SVC-SRG,20
2025-01-01,FAC-003,SVC-CHD,12
2025-01-01,FAC-003,SVC-MAT,14
2025-01-01,FAC-003,SVC-MHU,11
2025-01-02,FAC-001,SVC-MED,41
2025-01-02,FAC-001,SVC-SRG,30
2025-01-02,FAC-001,SVC-CHD,17
2025-01-02,FAC-001,SVC-MAT,21
2025-01-02,FAC-001,SVC-MHU,16
2025-01-02,FAC-002,SVC-MED,33
2025-01-02,FAC-002,SVC-SRG,23
2025-01-02,FAC-002,SVC-CHD,16
2025-01-02,FAC-002,SVC-MAT,16
2025-01-02,FAC-002,SVC-MHU,12
2025-01-02,FAC-003,SVC-MED,27
2025-01-02,FAC-003,SVC-SRG,20
2025-01-02,FAC-003,SVC-CHD,12
2025-01-02,FAC-003,SVC-MAT,13
2025-01-02,FAC-003,SVC-MHU,11
2025-01-03,FAC-001,SVC-MED,44
2025-01-03,FAC-001,SVC-SRG,30
2025-01-03,FAC-001,SVC-CHD,17
2025-01-03,FAC-001,SVC-MAT,19
2025-01-03,FAC-001,SVC-MHU,17
2025-01-03,FAC-002,SVC-MED,35
2025-01-03,FAC-002,SVC-SRG,24
2025-01-03,FAC-002,SVC-CHD,14
2025-01-03,FAC-002,SVC-MAT,15
2025-01-03,FAC-002,SVC-MHU,13
2025-01-03,FAC-003,SVC-MED,28
2025-01-03,FAC-003,SVC-SRG,20
2025-01-03,FAC-003,SVC-CHD,11
2025-01-03,FAC-003,SVC-MAT,13
2025-01-03,FAC-003,SVC-MHU,11
2025-01-04,FAC-001,SVC-MED,40
2025-01-04,FAC-001,SVC-SRG,29
2025-01-04,FAC-001,SVC-CHD,17
2025-01-04,FAC-001,SVC-MAT,19
2025-01-04,FAC-001,SVC-MHU,15
2025-01-04,FAC-002,SVC-MED,32
2025-01-04,FAC-002,SVC-SRG,23
2025-01-04,FAC-002,SVC-CHD,12
2025-01-04,FAC-002,SVC-MAT,15
2025-01-04,FAC-002,SVC-MHU,12
2025-01-04,FAC-003,SVC-MED,25
2025-01-04,FAC-003,SVC-SRG,18
2025-01-04,FAC-003,SVC-CHD,12
2025-01-04,FAC-003,SVC-MAT,11
2025-01-04,FAC-003,SVC-MHU,11
2025-01-05,FAC-001,SVC-MED,38
2025-01-05,FAC-001,SVC-SRG,28
2025-01-05,FAC-001,SVC-CHD,17
2025-01-05,FAC-001,SVC-MAT,19
2025-01-05,FAC-001,SVC-MHU,16
2025-01-05,FAC-002,SVC-MED,32
2025-01-05,FAC-002,SVC-SRG,22
2025-01-05,FAC-002,SVC-CHD,13
2025-01-05,FAC-002,SVC-MAT,16
2025-01-05,FAC-002,SVC-MHU,12
2025-01-05,FAC-003,SVC-MED,24
2025-01-05,FAC-003,SVC-SRG,17
2025-01-05,FAC-003,SVC-CHD,10
2025-01-05,FAC-003,SVC-MAT,13
2025-01-05,FAC-003,SVC-MHU,10
2025-01-06,FAC-001,SVC-MED,43
2025-01-06,FAC-001,SVC-SRG,30
2025-01-06,FAC-001,SVC-CHD,18
2025-01-06,FAC-001,SVC-MAT,21
2025-01-06,FAC-001,SVC-MHU,16
2025-01-06,FAC-002,SVC-MED,34
2025-01-06,FAC-002,SVC-SRG,23
2025-01-06,FAC-002,SVC-CHD,14
2025-01-06,FAC-002,SVC-MAT,16
2025-01-06,FAC-002,SVC-MHU,12
2025-01-06,FAC-003,SVC-MED,28
2025-01-06,FAC-003,SVC-SRG,19
2025-01-06,FAC-003,SVC-CHD,12
2025-01-06,FAC-003,SVC-MAT,13
2025-01-06,FAC-003,SVC-MHU,11
2025-01-07,FAC-001,SVC-MED,43
2025-01-07,FAC-001,SVC-SRG,30
2025-01-07,FAC-001,SVC-CHD,18
2025-01-07,FAC-001,SVC-MAT,20
2025-01-07,FAC-001,SVC-MHU,14
2025-01-07,FAC-002,SVC-MED,32
2025-01-07,FAC-002,SVC-SRG,23
2025-01-07,FAC-002,SVC-CHD,13
2025-01-07,FAC-002,SVC-MAT,16
2025-01-07,FAC-002,SVC-MHU,12
2025-01-07,FAC-003,SVC-MED,27
2025-01-07,FAC-003,SVC-SRG,21
2025-01-07,FAC-003,SVC-CHD,11
2025-01-07,FAC-003,SVC-MAT,14
2025-01-07,FAC-003,SVC-MHU,9
2025-01-08,FAC-001,SVC-MED,42
2025-01-08,FAC-001,SVC-SRG,29
2025-01-08,FAC-001,SVC-CHD,18
2025-01-08,FAC-001,SVC-MAT,21
2025-01-08,FAC-001,SVC-MHU,14
2025-01-08,FAC-002,SVC-MED,34
2025-01-08,FAC-002,SVC-SRG,24
2025-01-08,FAC-002,SVC-CHD,14
2025-01-08,FAC-002,SVC-MAT,15
2025-01-08,FAC-002,SVC-MHU,13
2025-01-08,FAC-003,SVC-MED,27
2025-01-08,FAC-003,SVC-SRG,20
2025-01-08,FAC-003,SVC-CHD,12
2025-01-08,FAC-003,SVC-MAT,15
2025-01-08,FAC-003,SVC-MHU,10
2025-01-09,FAC-001,SVC-MED,41
2025-01-09,FAC-001,SVC-SRG,30
2025-01-09,FAC-001,SVC-CHD,18
2025-01-09,FAC-001,SVC-MAT,21
2025-01-09,FAC-001,SVC-MHU,17
2025-01-09,FAC-002,SVC-MED,34
2025-01-09,FAC-002,SVC-SRG,25
2025-01-09,FAC-002,SVC-CHD,13
2025-01-09,FAC-002,SVC-MAT,15
2025-01-09,FAC-002,SVC-MHU,12
2025-01-09,FAC-003,SVC-MED,27
2025-01-09,FAC-003,SVC-SRG,18
2025-01-09,FAC-003,SVC-CHD,12
2025-01-09,FAC-003,SVC-MAT,13
2025-01-09,FAC-003,SVC-MHU,9
2025-01-10,FAC-001,SVC-MED,41
2025-01-10,FAC-001,SVC-SRG,30
2025-01-10,FAC-001,SVC-CHD,19
2025-01-10,FAC-001,SVC-MAT,22
2025-01-10,FAC-001,SVC-MHU,19
2025-01-10,FAC-002,SVC-MED,34
2025-01-10,FAC-002,SVC-SRG,23
2025-01-10,FAC-002,SVC-CHD,12
2025-01-10,FAC-002,SVC-MAT,16
2025-01-10,FAC-002,SVC-MHU,12
2025-01-10,FAC-003,SVC-MED,27
2025-01-10,FAC-003,SVC-SRG,19
2025-01-10,FAC-003,SVC-CHD,12
2025-01-10,FAC-003,SVC-MAT,14
2025-01-10,FAC-003,SVC-MHU,11
2025-01-11,FAC-001,SVC-MED,39
2025-01-11,FAC-001,SVC-SRG,27
2025-01-11,FAC-001,SVC-CHD,15
2025-01-11,FAC-001,SVC-MAT,18
2025-01-11,FAC-001,SVC-MHU,15
2025-01-11,FAC-002,SVC-MED,33
2025-01-11,FAC-002,SVC-SRG,23
2025-01-11,FAC-002,SVC-CHD,15
2025-01-11,FAC-002,SVC-MAT,15
2025-01-11,FAC-002,SVC-MHU,11
2025-01-11,FAC-003,SVC-MED,25
2025-01-11,FAC-003,SVC-SRG,18
2025-01-11,FAC-003,SVC-CHD,13
2025-01-11,FAC-003,SVC-MAT,11
2025-01-11,FAC-003,SVC-MHU,11
2025-01-12,FAC-001,SVC-MED,39
2025-01-12,FAC-001,SVC-SRG,29
2025-01-12,FAC-001,SVC-CHD,17
2025-01-12,FAC-001,SVC-MAT,19
2025-01-12,FAC-001,SVC-MHU,15
2025-01-12,FAC-002,SVC-MED,31
2025-01-12,FAC-002,SVC-SRG,23
2025-01-12,FAC-002,SVC-CHD,13
2025-01-12,FAC-002,SVC-MAT,14
2025-01-12,FAC-002,SVC-MHU,11
2025-01-12,FAC-003,SVC-MED,26
2025-01-12,FAC-003,SVC-SRG,20
2025-01-12,FAC-003,SVC-CHD,11
2025-01-12,FAC-003,SVC-MAT,12
2025-01-12,FAC-003,SVC-MHU,10
2025-01-13,FAC-001,SVC-MED,43
2025-01-13,FAC-001,SVC-SRG,30
2025-01-13,FAC-001,SVC-CHD,18
2025-01-13,FAC-001,SVC-MAT,21
2025-01-13,FAC-001,SVC-MHU,16
2025-01-13,FAC-002,SVC-MED,35
2025-01-13,FAC-002,SVC-SRG,24
2025-01-13,FAC-002,SVC-CHD,13
2025-01-13,FAC-002,SVC-MAT,15
2025-01-13,FAC-002,SVC-MHU,14
2025-01-13,FAC-003,SVC-MED,29
2025-01-13,FAC-003,SVC-SRG,19
2025-01-13,FAC-003,SVC-CHD,11
2025-01-13,FAC-003,SVC-MAT,14
2025-01-13,FAC-003,SVC-MHU,9
2025-01-14,FAC-001,SVC-MED,41
2025-01-14,FAC-001,SVC-SRG,31
2025-01-14,FAC-001,SVC-CHD,18
2025-01-14,FAC-001,SVC-MAT,20
2025-01-14,FAC-001,SVC-MHU,16
2025-01-14,FAC-002,SVC-MED,34
2025-01-14,FAC-002,SVC-SRG,25
2025-01-14,FAC-002,SVC-CHD,14
2025-01-14,FAC-002,SVC-MAT,17
2025-01-14,FAC-002,SVC-MHU,11
2025-01-14,FAC-003,SVC-MED,27
2025-01-14,FAC-003,SVC-SRG,19
2025-01-14,FAC-003,SVC-CHD,10
2025-01-14,FAC-003,SVC-MAT,12
2025-01-14,FAC-003,SVC-MHU,10
2025-01-15,FAC-001,SVC-MED,43
2025-01-15,FAC-001,SVC-SRG,29
2025-01-15,FAC-001,SVC-CHD,18
2025-01-15,FAC-001,SVC-MAT,20
2025-01-15,FAC-001,SVC-MHU,16
2025-01-15,FAC-002,SVC-MED,35
2025-01-15,FAC-002,SVC-SRG,25
2025-01-15,FAC-002,SVC-CHD,16
2025-01-15,FAC-002,SVC-MAT,16
2025-01-15,FAC-002,SVC-MHU,12
2025-01-15,FAC-003,SVC-MED,27
2025-01-15,FAC-003,SVC-SRG,20
2025-01-15,FAC-003,SVC-CHD,12
2025-01-15,FAC-003,SVC-MAT,12
2025-01-15,FAC-003,SVC-MHU,10
2025-01-16,FAC-001,SVC-MED,42
2025-01-16,FAC-001,SVC-SRG,33
2025-01-16,FAC-001,SVC-CHD,20
2025-01-16,FAC-001,SVC-MAT,19
