region,age_group,gender,year,growth_index
North,0-17,Female,2025,1.0
North,0-17,Female,2026,1.02
North,0-17,Female,2027,1.0404
North,0-17,Female,2028,1.0612
North,0-17,Female,2029,1.0824
North,0-17,Female,2030,1.1041
North,0-17,Female,2031,1.1262
North,0-17,Female,2032,1.1487
North,0-17,Female,2033,1.1717
North,0-17,Female,2034,1.1951
North,0-17,Female,2035,1.219
North,0-17,Female,2036,1.2434
North,0-17,Female,2037,1.2682
North,0-17,Female,2038,1.2936
North,0-17,Female,2039,1.3195
North,0-17,Female,2040,1.3459
North,0-17,Male,2025,1.0
North,0-17,Male,2026,1.019
North,0-17,Male,2027,1.0384
North,0-17,Male,2028,1.0581
North,0-17,Male,2029,1.0782
North,0-17,Male,2030,1.0987
North,0-17,Male,2031,1.1196
North,0-17,Male,2032,1.1408
North,0-17,Male,2033,1.1625
North,0-17,Male,2034,1.1846
North,0-17,Male,2035,1.2071
North,0-17,Male,2036,1.23
North,0-17,Male,2037,1.2534
North,0-17,Male,2038,1.2772
North,0-17,Male,2039,1.3015
North,0-17,Male,2040,1.3262
North,18-44,Female,2025,1.0
North,18-44,Female,2026,1.025
North,18-44,Female,2027,1.0506
North,18-44,Female,2028,1.0769
North,18-44,Female,2029,1.1038
North,18-44,Female,2030,1.1314
North,18-44,Female,2031,1.1597
North,18-44,Female,2032,1.1887
North,18-44,Female,2033,1.2184
North,18-44,Female,2034,1.2489
North,18-44,Female,2035,1.2801
North,18-44,Female,2036,1.3121
North,18-44,Female,2037,1.3449
North,18-44,Female,2038,1.3785
North,18-44,Female,2039,1.413
North,18-44,Female,2040,1.4483
North,18-44,Male,2025,1.0
North,18-44,Male,2026,1.024
North,18-44,Male,2027,1.0486
North,18-44,Male,2028,1.0737
North,18-44,Male,2029,1.0995
North,18-44,Male,2030,1.1259
North,18-44,Male,2031,1.1529
North,18-44,Male,2032,1.1806
North,18-44,Male,2033,1.2089
North,18-44,Male,2034,1.2379
North,18-44,Male,2035,1.2677
North,18-44,Male,2036,1.2981
North,18-44,Male,2037,1.3292
North,18-44,Male,2038,1.3611
North,18-44,Male,2039,1.3938
North,18-44,Male,2040,1.4272
North,45-69,Female,2025,1.0
North,45-69,Female,2026,1.031
North,45-69,Female,2027,1.063
North,45-69,Female,2028,1.0959
North,45-69,Female,2029,1.1299
North,45-69,Female,2030,1.1649
North,45-69,Female,2031,1.201
North,45-69,Female,2032,1.2383
North,45-69,Female,2033,1.2766
North,45-69,Female,2034,1.3162
North,45-69,Female,2035,1.357
North,45-69,Female,2036,1.3991
North,45-69,Female,2037,1.4425
North,45-69,Female,2038,1.4872
North,45-69,Female,2039,1.5333
North,45-69,Female,2040,1.5808
North,45-69,Male,2025,1.0
North,45-69,Male,2026,1.03
North,45-69,Male,2027,1.0609
North,45-69,Male,2028,1.0927
North,45-69,Male,2029,1.1255
North,45-69,Male,2030,1.1593
North,45-69,Male,2031,1.1941
